Org Name,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade
Berkshire Hills,06180000,Public School District,Superintendent,Peter Dillon,50 Main Street,PO Box 617,Stockbridge,MA,01262,413-298-4017,413-298-4017,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Berlin,00280000,Public School District,Superintendent,Nadine Ekstrom,215 Main Street,,Boylston,MA,01505,508-869-2837,508-869-0023,"PK,K,01,02,03,04,05"
Berlin-Boylston,06200000,Public School District,Superintendent,Nadine Ekstrom,215 Main Street,,Boylston,MA,01505,508-869-2837,508-869-0023,"06,07,08,09,10,11,12"
Bernardston (non-op),00290000,Public School District,Superintendent,Dayle Doiron,97 F Sumner Turner Rd,,Northfield,MA,01360,413-498-2911,413-498-0045,NA
Beverly,00300000,Public School District,Superintendent,Albert Argenziano,502 Cabot St,,Beverly,MA,01915,978-921-6100,978-922-6597,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Billerica,00310000,Public School District,Superintendent,Timothy Piwowar,365 Boston Rd,,Billerica,MA,01821,978-528-7900,978-436-9595,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Blackstone (non-op),00320000,Public School District,Superintendent,Perry Davis,175 Lincoln Street,,Blackstone,MA,01504,508-883-4400,508-883-9892,NA
Blackstone Valley Regional Vocational Technical,08050000,Public School District,Superintendent,Michael Fitzpatrick,65 Pleasant Street,,Upton,MA,01568,508-529-7758,508-529-3079,"09,10,11,12"
Blackstone-Millville,06220000,Public School District,Superintendent,Perry Davis,175 Lincoln Street,,Blackstone,MA,01504,508-883-4400,508-883-9892,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Blandford (non-op),00330000,Public School District,Superintendent,David Hopson,12 Littleville Road,,Huntington,MA,01050,413-685-1011,413-667-8739,NA
Blue Hills Regional Vocational Technical,08060000,Public School District,Superintendent,James Quaglia,800 Randolph Street,,Canton,MA,02021,781-828-5800,781-828-3872,"09,10,11,12"
Bolton (non-op),00340000,Public School District,Superintendent,Michael Wood,50 Mechanic Street,,Bolton,MA,01740,978-779-0539,978-779-6812,NA
Boston,00350000,Public School District,Superintendent,John McDonough,26 Court Street,,Boston,MA,02108,617-635-9050,617-635-9059,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Boston Collegiate Charter (District),04490000,Charter District,Charter School Leader,Shannah Varon,11 Mayhew Street,,Dorchester,MA,02125,617-265-1172,617-265-1176,"05,06,07,08,09,10,11,12"
Boston Day and Evening Academy Charter (District),04240000,Charter District,Charter School Leader,Beatriz McConnie Zapater,20 Kearsarge Ave,,Roxbury,MA,02119,617-635-6789,617-635-6380,"09,10,11,12"
Boston Green Academy Horace Mann Charter School (District),04110000,Charter District,Charter School Leader,Natalie Jaeger,95 G Street,,South Boston,MA,02127,617-635-9860,617-635-9858,"09,10,11,12"
Boston Preparatory Charter Public (District),04160000,Charter District,Charter School Leader,Sharon Liszanckie,1286 Hyde Park Avenue,,Hyde Park,MA,02136,617-333-6688,617-333-6689,"06,07,08,09,10,11,12"
Boston Renaissance Charter Public (District),04810000,Charter District,Charter School Leader,Roger Harris,1415 Hyde Park Ave,,Hyde Park,MA,02136,617-357-0900,617-357-0949,"PK,K,01,02,03,04,05,06"
Bourne,00360000,Public School District,Superintendent,Steven Lamarche,36 Sandwich Rd,,Bourne,MA,02532,508-759-0660,508-759-1107,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Boxborough,00370000,Public School District,Superintendent,Curtis Bates,493 Massachusetts Avenue,,Boxborough,MA,01719,978-263-4569,978-263-0477,"PK,K,01,02,03,04,05,06"
Boxford,00380000,Public School District,Superintendent,Bernard Creeden,28 Middleton Road,,Boxford,MA,01921,978-887-0771,978-887-8042,"PK,K,01,02,03,04,05,06"
Boylston,00390000,Public School District,Superintendent,Nadine Ekstrom,215 Main Street,,Boylston,MA,01505,508-869-2837,508-869-0023,"PK,K,01,02,03,04,05"
Braintree,00400000,Public School District,Superintendent,Maureen Murray,348 Pond Street,,Braintree,MA,02184,781-380-0130,781-380-0146,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Brewster,00410000,Public School District,Superintendent,Richard Hoffmann,78 Eldredge Pkwy,,Orleans,MA,02653,508-255-8800,508-240-2351,"PK,K,01,02,03,04,05"
Bridge Boston Charter School (District),04170000,Charter District,Charter School Leader,Jug Chokshi,2 McLellan Street,,Dorchester,MA,02121,857-229-1601,--,"PK,K,01,02"
Bridgewater (non-op),00420000,Public School District,Superintendent,Jacqueline Forbes,166 Mt. Prospect Street,,Bridgewater,MA,02324,508-279-2140,508-697-7012,NA
Bridgewater-Raynham,06250000,Public School District,Superintendent,Jacqueline Forbes,166 Mt. Prospect Street,,Bridgewater,MA,02324,508-279-2140,508-697-7012,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Brimfield,00430000,Public School District,Superintendent,Erin Nosek,320A Brookfield Rd,,Fiskdale,MA,01518,508-347-3077,508-347-2697,"PK,K,01,02,03,04,05,06"
Bristol County Agricultural,09100000,Public School District,Superintendent,Stephen Dempsey,135 Center Street,,Dighton,MA,02715,508-669-6744,508-669-6747,"09,10,11,12"
Bristol-Plymouth Regional Vocational Technical,08100000,Public School District,Superintendent,Richard Gross,207 Hart Street,,Taunton,MA,02780,508-823-5151,508-880-7287,"09,10,11,12"
Brockton,00440000,Public School District,Superintendent,Kathleen Smith,43 Crescent Street,,Brockton,MA,02301,508-580-7511,508-580-7513,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Brooke Charter School East Boston (District),04570000,Charter District,Charter School Leader,Kimberly Steadman,189 Paris Street,,East Boston,MA,02128,617-409-5150,--,"K,01,02,05,06"
Brooke Charter School Mattapan (District),04430000,Charter District,Charter School Leader,Kimberly Steadman,7 Elkins Street,,Boston,MA,02127,617-269-1006,617-268-1107,"K,01,02,03,05,06,07"
Brooke Charter School Roslindale (District),04280000,Charter District,Charter School Leader,Kimberly Steadman,190 Cummins Highway,,Roslindale,MA,02131,617-325-7977,617-325-2260,"K,01,02,03,04,05,06,07,08"
Brookfield,00450000,Public School District,Superintendent,Erin Nosek,320 Brookfield Rd,,Fiskdale,MA,01518,508-347-3077,508-347-2697,"PK,K,01,02,03,04,05,06"
Brookline,00460000,Public School District,Superintendent,William Lupini,333 Washington Street,,Brookline,MA,02445,617-730-2403,617-730-2601,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Buckland (non-op),00470000,Public School District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,01370,413-625-0192,413-625-0196,NA
Burlington,00480000,Public School District,Superintendent,Eric Conti,123 Cambridge Street,,Burlington,MA,01803,781-270-1801,781-270-1773,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Cambridge,00490000,Public School District,Superintendent,Jeffrey Young,159 Thorndike Street,,Cambridge,MA,02141,617-349-6494,617-349-6496,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Canton,00500000,Public School District,Superintendent,Jeffrey Granatino,960 Washington Street,,Canton,MA,02021,781-821-5060,781-575-6500,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Cape Cod Lighthouse Charter (District),04320000,Charter District,Charter School Leader,Paul Niles,195 Route 137,,Harwich,MA,02645,774-408-7994,774-237-9041,"06,07,08"
Cape Cod Regional Vocational Technical,08150000,Public School District,Superintendent,Robert Sanborn,351 Pleasant Lake Avenue,,Harwich,MA,02645,508-432-4500,508-432-7916,"09,10,11,12"
Carlisle,00510000,Public School District,Superintendent,Joan Wickman,83 School Street,,Carlisle,MA,01741,978-369-6550,978-371-2400,"PK,K,01,02,03,04,05,06,07,08"
Carver,00520000,Public School District,Superintendent,Elizabeth Sorrell,3 Carver Square Blvd.,,Carver,MA,02330,508-866-6160,508-866-2920,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Central Berkshire,06350000,Public School District,Superintendent,William Cameron,PO Box 299,,Dalton,MA,01227,413-684-0320,413-684-4088,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Charlemont (non-op),00530000,Public School District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,01370,413-625-0192,413-625-0196,NA
Charlton (non-op),00540000,Public School District,Superintendent,Sean Gilrein,68 Dudley Oxford Road,,Dudley,MA,01571,508-943-6888,508-943-1077,NA
Chatham (Non-op),00550000,Public School District,Superintendent,Scott Carpenter,425 Crowell Rd,,Chatham,MA,02633,508-945-5130,508-945-5133,NA
Chelmsford,00560000,Public School District,Superintendent,Frank Tiano,230 North Road,,Chelmsford,MA,01824,978-251-5100,978-251-5110,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Chelsea,00570000,Public School District,Superintendent,Mary Bourque,500 Broadway Street,c/o City Hall Room 216,Chelsea,MA,02150,617-466-4477,617-889-8361,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Cheshire (non-op),00580000,Public School District,Superintendent,Alfred Skrocki,125 Savoy Road,,Cheshire,MA,01225,413-743-2939,413-743-4135,NA
Chester (non-op),00590000,Public School District,Superintendent,David Hopson,12 Littleville Road,,Huntington,MA,01050,413-685-1011,413-667-8739,NA
Chesterfield (non-op),00600000,Public School District,Superintendent,Craig Jurgensen,19 Stage Rd,,Westhampton,MA,01027,413-527-7200,413-529-9497,NA
Chesterfield-Goshen,06320000,Public School District,Superintendent,Craig Jurgensen,19 Stage Rd,,Westhampton,MA,01027,413-527-7200,413-529-9497,"PK,K,01,02,03,04,05,06"
Chicopee,00610000,Public School District,Superintendent,Richard Rege,180 Broadway Street,,Chicopee,MA,01020,413-594-3410,413-594-3552,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Chilmark (non-op),00620000,Public School District,Superintendent,James Weiss,4 Pine Street,,Vineyard Haven,MA,02568,508-693-2007,508-693-3190,NA
Christa McAuliffe Regional Charter Public (District),04180000,Charter District,Charter School Leader,Kristin Harrison,25 Clinton Street,,Framingham,MA,01702,508-879-9000,508-879-1066,"06,07,08"
City On A Hill Charter Public (District),04370000,Charter District,Charter School Leader,Erica Brown,58 Circuit Street,,Roxbury,MA,02119,617-445-1515,617-445-9153,"09,10,11,12"
City on a Hill Charter Public School II (District),35040000,Charter District,Charter School Leader,Erica Brown,18 Samoset Street,,Dorchester,MA,02124,617-516-5888,--,9
Clarksburg,00630000,Public School District,Superintendent,Jon Lev,777 West Crossroad,,Clarksburg,MA,01247,413-664-8735,413-664-8735,"K,01,02,03,04,05,06,07,08"
Clinton,00640000,Public School District,Superintendent,Terrance Ingano,150 School Street,,Clinton,MA,01510,978-365-4200,978-365-5037,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Codman Academy Charter Public (District),04380000,Charter District,Charter School Leader,Margaret Campbell,637 Washington Street,,Dorchester,MA,02124,617-287-0700,617-287-9064,"PK,K,09,10,11,12"
Cohasset,00650000,Public School District,Superintendent,Barbara Cataldo,143 Pond Street,,Cohasset,MA,02025,781-383-6112,781-383-6507,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Colrain (non-op),00660000,Public School District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,01370,413-625-0192,413-625-0196,NA
Community Charter School of Cambridge (District),04360000,Charter District,Charter School Leader,Caleb Hurst-Hiller,245 Bent Street,,Cambridge,MA,02141,617-354-0047,617-354-3624,"07,08,09,10,11,12"
Community Day Charter Public School - Gateway (District),04260000,Charter District,Charter School Leader,Kennedy Hilario,190 Hampshire Street,,Lawrence,MA,01840,978-722-2538,978-682-1013,"PK,K,01,02"
Community Day Charter Public School - Prospect (District),04400000,Charter District,Charter School Leader,Kennedy Hilario,190 Hampshire Street,,Lawrence,MA,01840,978-722-2538,978-682-1013,"PK,K,01,02,03,04,05,06,07,08"
Community Day Charter Public School - R. Kingman Webster (District),04310000,Charter District,Charter School Leader,Kennedy Hilario,190 Hampshire Street,,Lawrence,MA,01840,978-722-2538,978-682-1013,"PK,K,01,02"
Concord,00670000,Public School District,Superintendent,Diana Rigby,120 Meriam Rd,,Concord,MA,01742,978-318-1500,978-318-1537,"PK,K,01,02,03,04,05,06,07,08"
Concord-Carlisle,06400000,Public School District,Superintendent,Diana Rigby,120 Meriam Rd,,Concord,MA,01742,978-341-2490,978-318-1537,"09,10,11,12"
Conservatory Lab Charter (District),04390000,Charter District,Charter School Leader,Diana Lam,25 Arlington Street,,Brighton,MA,02135,617-254-8904,617-254-8909,"PK,K,01,02,03,04,05,06,07"
Conway,00680000,Public School District,Superintendent,Martha Barrett,219 Christian Ln RFD1,,South Deerfield,MA,01373,413-665-1155,413-665-8506,"PK,K,01,02,03,04,05,06"
Cummington (non-op),00690000,Public School District,Superintendent,William Cameron,254 Hinsdale Road,Box 299,Dalton,MA,01227,413-684-0320,413-684-4088,NA
Dalton (non-op),00700000,Public School District,Superintendent,William Cameron,PO Box 299,,Dalton,MA,01227,413-684-0320,413-684-4088,NA
Danvers,00710000,Public School District,Superintendent,Lisa Dana,64 Cabot Road,,Danvers,MA,01923,978-777-4539,978-777-8931,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Dartmouth,00720000,Public School District,Superintendent,Ana Riley,8 Bush Street,,Dartmouth,MA,02748,508-997-3391,508-991-4184,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Dedham,00730000,Public School District,Superintendent,June Doe,100 Whiting Avenue,,Dedham,MA,02026,781-326-5622,781-320-0193,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Deerfield,00740000,Public School District,Superintendent,Martha Barrett,219 Christian Ln RFD1,,South Deerfield,MA,01373,413-665-1155,413-665-8506,"PK,K,01,02,03,04,05,06"
Dennis (non-op),00750000,Public School District,Superintendent,Carol Woodbury,296 Station Avenue,,South Yarmouth,MA,02664,508-398-7605,508-398-7622,NA
Dennis-Yarmouth,06450000,Public School District,Superintendent,Carol Woodbury,296 Station Avenue,,South Yarmouth,MA,02664,508-398-7600,508-398-7622,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Devens (non-op),03520000,Public School District,Superintendent,Joseph Connelly,270 Barnum Rd,,Devens,MA,01432,978-772-6340,978-772-7577,NA
Dighton (non-op),00760000,Public School District,Superintendent,Michael Malone,2700 Regional Road,,North Dighton,MA,02764,508-252-5000,508-252-5024,NA
Dighton-Rehoboth,06500000,Public School District,Superintendent,Michael Malone,2700 Regional Road,,North Dighton,MA,02764,508-252-5000,508-252-5024,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Dorchester Collegiate Academy Charter (District),04750000,Charter District,Charter School Leader,Robert Flynn,131 Hancock Street,,Dorchester,MA,02125,617-379-3027,--,"04,05,06,07,08"
Douglas,00770000,Public School District,Superintendent,Nancy Lane,21 Davis Street,,Douglas,MA,01516,508-476-7901,508-476-3719,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Dover,00780000,Public School District,Superintendent,Steven Bliss,157 Farm Street,,Dover,MA,02030,508-785-0036,508-785-2239,"K,01,02,03,04,05"
Dover-Sherborn,06550000,Public School District,Superintendent,Steven Bliss,157 Farm Street,,Dover,MA,02030,508-785-0036,508-785-2239,"06,07,08,09,10,11,12"
Dracut,00790000,Public School District,Superintendent,Steven Stone,2063 Lakeview Avenue,,Dracut,MA,01826,978-957-2660,978-957-2682,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Dudley (non-op),00800000,Public School District,Superintendent,Sean Gilrein,68 Dudley Oxford Road,,Dudley,MA,01571,508-943-6888,508-943-1077,NA
Dudley Street Neighborhood Charter School (District),04070000,Charter District,Charter School Leader,Christine Landry,6 Shirley Street,,Boston,MA,02119,617-635-8507,617-635-6320,"PK,K,01,02"
Dudley-Charlton Reg,06580000,Public School District,Superintendent,Sean Gilrein,68 Dudley Oxford Road,,Dudley,MA,01571,508-943-6888,508-943-1077,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Dunstable (non-op),00810000,Public School District,Superintendent,Anthony Bent,P O Box 729,,Groton,MA,01450,978-448-5505,978-448-9402,NA
Duxbury,00820000,Public School District,Superintendent,Benedict Tantillo,130 St. George Street,,Duxbury,MA,02332,781-934-7600,781-934-7644,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
East Bridgewater,00830000,Public School District,Superintendent,John Moretti,143 Plymouth Street,,East Bridgewater,MA,02333,508-378-8200,508-378-8225,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
East Brookfield (non-op),00840000,Public School District,Superintendent,Edward Malvey,306 Main Street,,Spencer,MA,01562,508-885-8500,508-885-8504,NA
East Longmeadow,00870000,Public School District,Superintendent,Gordon Smith,180 Maple Street,,East Longmeadow,MA,01028,413-525-5450,413-525-5456,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Eastham,00850000,Public School District,Superintendent,Richard Hoffmann,78 Eldredge Pkwy,,Orleans,MA,02653,508-255-8800,508-240-2351,"PK,K,01,02,03,04,05"
Easthampton,00860000,Public School District,Superintendent,Nancy Follansbee,50 Payson Avenue,Second Floor,Easthampton,MA,01027,413-529-1500,413-529-1567,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Easton,00880000,Public School District,Superintendent,Michael Green,PO Box 359,,North Easton,MA,02356,508-230-3200,508-238-3563,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Edgartown,00890000,Public School District,Superintendent,James Weiss,4 Pine Street,,Vineyard Haven,MA,02568,508-693-2007,508-693-3190,"PK,K,01,02,03,04,05,06,07,08"
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,Charter District,Charter School Leader,Caren Walker Gregory,360 Huntington Avenue,c/o 102 Cahners Hall,Boston,MA,02115,617-373-8576,617-373-7850,"09,10,11,12"
Egremont (non-op),00900000,Public School District,Superintendent,David Hastings,PO Box 339,,Sheffield,MA,01257,413-229-8778,413-229-2913,NA
Erving,00910000,Public School District,Superintendent,Robert Mahler,18 Pleasant Street,,Erving,MA,01344,413-423-3337,413-423-3236,"PK,K,01,02,03,04,05,06"
Essex (non-op),00920000,Public School District,Superintendent,Marcia O'Neil,36 Lincoln Street,P. O. Box 1407,Manchester,MA,01944,978-526-4919,--,NA
Essex Agricultural Technical,09130000,Public School District,Superintendent,Joy White,PO BOX 362,,Hathorne,MA,01937,978-774-0050,978-774-6530,"09,10,11,12"
Everett,00930000,Public School District,Superintendent,Frederick Foresteire,121 Vine Street,,Everett,MA,02149,617-389-7950,617-394-2408,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Excel Academy Charter (District),04100000,Charter District,Charter School Leader,Owen Stearns,58 Moore Street,,East Boston,MA,02128,617-874-4080,617-516-1603,"05,06,07,08"
Excel Academy Charter School - Boston II (District),04590000,Charter District,Charter School Leader,Owen Stearns,1150 Saratoga Street,,East Boston,MA,02128,617-561-1371,617-963-7162,"05,06"
Excel Academy Charter School - Chelsea (District),04610000,Charter District,Charter School Leader,Owen Stearns,180 Second Street,,Chelsea,MA,02150,617-336-9970,617-516-9676,"05,06,07"
Fairhaven,00940000,Public School District,Superintendent,Robert Baldwin,128 Washington Street,,Fairhaven,MA,02719,508-979-4000,508-979-4149,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Fall River,00950000,Public School District,Superintendent,Margery Mayo-Brown,417 Rock Street,,Fall River,MA,02720,508-675-8420,508-675-8462,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
