id,Org Code,Town,School Year End Date (MM/DD):,Function,Org Type,Mass District Type:,District Title I Status:,Zip,Organization Description:,Educator Preparation Program Provider (EPPP):,State,District Operating Status:,NCES ID:,School Year Start Date (MM/DD):,Fax:,Phone:,Web Site:,Phone,Address 1,Mailing Address:,Address 2,Org Name,Grade,Fax,Email:,Contact Name,SES Provider:,RTTT Grant Program:,Inter-District School Choice:,METCO Program:,Chapter 74 Approved Programs:,Ed Prep: Mission/Vision Statement:,Ed Prep: Admission Requirements - Post-Baccalaureate:,Ed Prep: Description of Partnerships:,Ed Prep: Admission Requirements - Baccalaureate:
14,04150000,Amesbury,06/26,Charter School Leader,Charter District,Independent Public including Charters,Title I District,01913,"Horace Mann Charter School
Established 2000-2001",$ Not Defined,MA,Operating,2500069,9/1,978-388-8073,978-388-8037,http://www.amesburyma.gov,978-388-8037,71 Friend Street,"71 Friend StreetAmesbury, MA, 01913",,Amesbury Academy Charter Public (District),"09,10,11,12",978-388-8073,maguiree@amesburyma.gov,Norman Hamond,$ Not Defined,No,Offers Choice,,,,,,
15,00080000,Amherst,06/21,Superintendent,Public School District,Local School,Title I District,01002,"Crocker Farm Elementary School
Fort River Elementary School
Wildwood Elementary School",$ Not Defined,MA,Operating,2501890,9/1,413-549-6108,413-362-1810,http://www.arps.org,413-362-1810,170 Chestnut Street,"170 Chestnut StreetAmherst, MA, 01002",,Amherst,"PK,K,01,02,03,04,05,06",413-549-6108,gerykm@arps.org,Maria Geryk,$ Not Defined,Yes,Offers Choice,Does Not Accept METCO Students,,,,,
16,06050000,Amherst,06/21,Superintendent,Public School District,Regional Academic,Title I District,01002,"Amherst-Pelham Regional School District

Amherst-Pelham Regional High School - Principal Mark Jackson

Amherst Regional Middle School - 
Principal Betsy Dinger",$ Not Defined,MA,Operating,2501920,9/1,413-549-6108,413-362-1810,http://www.arps.org,413-362-1810,170 Chestnut Street,"170 Chestnut StreetAmherst, MA, 01002",,Amherst-Pelham,"07,08,09,10,11,12",413-549-6108,gerykm@arps.org,Maria Geryk,$ Not Defined,Yes,Offers Choice,Does Not Accept METCO Students,,,,,
17,00090000,Andover,06/28,Superintendent,Public School District,Local School,Title I District,01810,,$ Not Defined,MA,Operating,2501950,9/1,978-623-8505,978-623-8501,http://www.aps1.net,978-623-8501,36 Bartlet Street,"36 Bartlet StreetAndover, MA, 01810",,Andover,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",978-623-8505,mmcgrath@aps1.net,Marinel McGrath,$ Not Defined,No,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
18,01040000,Vineyard Haven,6/15,Superintendent,Public School District,Local School,Non-Title I District,02568,,,MA,Non Operating,2505190,9/1,508-693-3190,508-693-2007,,508-693-2007,4 Pine Street,"4 Pine StreetVineyard Haven, MA, 02568",,Aquinnah (non-op),NA,508-693-3190,jweiss@mvyps.org,James Weiss,,No,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
19,00100000,Arlington,06/28,Superintendent,Public School District,Local School,Title I District,02476,,$ Not Defined,MA,Operating,2501980,9/1,781-316-3509,781-316-3523,http://www.arlington.k12.ma.us,781-316-3523,869 Massachusetts Avenue,"869 Massachusetts AvenueArlington, MA, 02476 0002",,Arlington,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",781-316-3509,kbodie@arlington.k12.ma.us,Kathleen Bodie,$ Not Defined,No,Does Not Offer Choice,Accepts METCO Students,,,,,
20,00110000,Ashburnham,6/15,Superintendent,Public School District,Local School,Non-Title I District,01430,,,MA,Non Operating,2502010,9/1,978-827-5969,978-827-1434,http://www.awrsd.org,978-827-1434,11 Oakmont Drive,"11 Oakmont DriveAshburnham, MA, 01430",,Ashburnham (non-op),NA,978-827-5969,rhicks@awrsd.org,Ralph Hicks,,No,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
21,06100000,Ashburnham,06/18,Superintendent,Public School District,Regional Academic,Title I District,01430,,$ Not Defined,MA,Operating,2502040,9/1,978-827-5969,978-827-1434,http://www.awrsd.org,978-827-1434,11 Oakmont Drive,"11 Oakmont Drivec/o Office of the SuperintendentAshburnham, MA, 01430 1670",c/o Office of the Superintendent,Ashburnham-Westminster,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",978-827-5969,rhicks@awrsd.org,Ralph Hicks,$ Not Defined,No,Offers Choice,Does Not Accept METCO Students,,,,,
22,00120000,Townsend,6/15,Superintendent,Public School District,Local School,Non-Title I District,01469,,,MA,Non Operating,2502070,9/1,978-597-6534,978-597-8713,,978-597-8713,23 Main Street,"23 Main StreetTownsend, MA, 01469",,Ashby (non-op),NA,978-597-6534,jmccormick@nmiddlesex.mec.edu,Maureen Marshall,,No,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
23,00130000,Shelburne Falls,6/15,Superintendent,Public School District,Local School,Non-Title I District,01370,,,MA,Non Operating,2500004,9/1,413-625-0196,413-625-0192,,413-625-0192,24 Ashfield Road,"24 Ashfield RoadShelburne Falls, MA, 01370",,Ashfield (non-op),NA,413-625-0196,mbuoniconti@mtrsd.k12.ma.us,Michael Buoniconti,,No,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
24,00140000,Ashland,06/25,Superintendent,Public School District,Local School,Title I District,01721,,$ Not Defined,MA,Operating,2502100,9/1,508-881-0161,508-881-0150,http://ashland.k12.ma.us,508-881-0150,87 West Union Street,"87 West Union StreetAshland, MA, 01721",,Ashland,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",508-881-0161,bclenchy@ashland.k12.ma.us,Brooke Clenchy,$ Not Defined,Yes,Offers Choice,Does Not Accept METCO Students,,,,,
25,08010000,Marlborough,06/21,Superintendent,Public School District,Regional Vocational Tech,Title I District,01752,,$ Not Defined,MA,Operating,2502110,9/1,508-460-3472,508-485-9430,http://www.assabettech.com,508-485-9430,215 Fitchburg Street,"215 Fitchburg StreetMarlborough, MA, 01752",,Assabet Valley Regional Vocational Technical,"09,10,11,12",508-460-3472,superintendent@assabet.org,Patrick Collins,$ Not Defined,Yes,Does Not Offer Choice,Does Not Accept METCO Students,Automotive Collision Repair & Refinishing (470603)Automotive Technology (470604)Biotechnology (150401)Business Technology (520407)Carpentry (460201)Cosmetology (120401)Culinary Arts (120500)Design & Visual Communications (500401)Drafting (151301)Electricity (460302)Exploratory (990100)Health Assisting (510000)Heating - Ventilation  - Air Conditioning -  Refrigeration (470201)Machine Tool Technology (480501)Metal Fabrication & Joining Technologies (480599)Painting & Design Technologies (460408)Plumbing (460503)Programming & Web Development (110201),,,,
26,00150000,Athol,6/15,Superintendent,Public School District,Local School,Non-Title I District,01331,,,MA,Non Operating,2502130,9/1,978-249-2402,978-249-2400,,978-249-2400,P.O.Box 968,"P.O.Box 968Athol, MA, 01331",,Athol (non-op),NA,978-249-2402,apolito@arrsd.org,Anthony Polito,,No,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
27,06150000,Athol,6/24,Superintendent,Public School District,Regional Academic,Title I District,01331,,$ Not Defined,MA,Operating,2502160,9/1,978-249-2402,978-249-2400,http://www.arrsd.org,978-249-2400,1062 Pleasant Street,"1062 Pleasant StreetAthol, MA, 01331",,Athol-Royalston,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",978-249-2402,apolito@arrsd.org,Anthony Polito,$ Not Defined,No,Offers Choice,Does Not Accept METCO Students,,,,,
28,04910000,Fall River,06/20,Charter School Leader,Charter District,Independent Public including Charters,Title I District,02721,Atlantis Charter School is a public charter school located in two separate facilities and providing educational services to 700 K-8 students.,$ Not Defined,MA,Operating,2500041,9/1,508-672-2474,508-672-2181,http://www.atlantiscs.org,508-672-2181,37 Park Street Street,"37 Park Street StreetFall River, MA, 02721 1712",,Atlantis Charter (District),"K,01,02,03,04,05,06,07,08",508-672-2474,robert.beatty@atlantiscs.org,Robert Beatty,Yes,Yes,,,,,,,
29,00160000,Attleboro,06/26,Superintendent,Public School District,Local School,Title I District,02703,"Attleboro Public Schools
100 Rathbun Willard Dr
Attleboro, MA 02703",$ Not Defined,MA,Operating,2502190,9/1,508-223-1577,508-222-0012,http://www.attleboroschools.com,508-222-0012,100 Rathbun Willard Drive,"100 Rathbun Willard DriveAttleboro, MA, 02703",,Attleboro,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",508-223-1577,ksheehan@attleboroschools.com,Kenneth Sheehan,Yes,Yes,Does Not Offer Choice,Does Not Accept METCO Students,Automotive Technology (470604)Carpentry (460201)Culinary Arts (120500)Design & Visual Communications (500401)Early Education and Care (131210)Electricity (460302)Engineering Technology (150000)Exploratory (990100)Graphic Communications (100301)Information Support Services & Networking (110401)Medical Assisting (510801)Metal Fabrication & Joining Technologies (480599),,,,
30,00170000,Auburn,06/24,Superintendent,Public School District,Local School,Title I District,01501,,$ Not Defined,MA,Operating,2502220,9/1,508-832-7757,508-832-7755,http://www.auburn.k12.ma.us,508-832-7755,5 West Street,"5 West StreetAuburn, MA, 01501",,Auburn,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",508-832-7757,mbrunelle@auburn.k12.ma.us,Maryellen Brunelle,$ Not Defined,Yes,Offers Choice,Does Not Accept METCO Students,,,,,
31,00180000,Avon,06/24,Superintendent,Public School District,Local School,Title I District,02322,,$ Not Defined,MA,Operating,2502250,9/1,508-559-1081,508-588-0230,http://www.avon.k12.ma.us,508-588-0230,1 Patrick Clark Drive,"1 Patrick Clark DriveAvon, MA, 02322",,Avon,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",508-559-1081,pzinni@avon.k12.ma.us,Paul Zinni,$ Not Defined,Yes,Offers Choice,Does Not Accept METCO Students,,,,,
32,00190000,Ayer,6/23,Superintendent,Public School District,Local School,Non-Title I District,01432,,,MA,Non Operating,2502280,9/1,978-772-7444,978-772-8600,http://www.asrsd.org,978-772-8600,141 Washington Street,"141 Washington StreetAyer, MA, 01432",,Ayer (non-op),NA,978-772-7444,cmock@ayershirleyregion.org,Carl Mock,$ Not Defined,No,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
33,06160000,Ayer,06/21,Superintendent,Public School District,Regional Academic,Title I District,01432,,$ Not Defined,MA,Operating,2500542,09/01,978-772-7444,978-772-8600,http://www.asrsd.org,978-772-8600,141 Washington Street,"141 Washington StreetAyer, MA, 01432",,Ayer Shirley School District,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",978-772-7444,cmock@asrsd.org,Carl Mock,$ Not Defined,No,$ Not Defined,Does Not Accept METCO Students,,,,,
34,00200000,Hyannis,06/21,Superintendent,Public School District,Local School,Title I District,02601,,$ Not Defined,MA,Operating,2502310,9/1,508-790-6454,508-862-4953,http://www.barnstable.k12.ma.us/,508-862-4953,P O Box 955,"P O Box 955Hyannis, MA, 02601 0955",,Barnstable,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",508-790-6454,superintendent@barnstable.k12.ma.us,Mary Czajkowski,$ Not Defined,Yes,Offers Choice,Does Not Accept METCO Students,,,,,
35,04270000,Hyannis,06/21,Charter School Leader,Charter District,Independent Public including Charters,Title I District,02601,,$ Not Defined,MA,Operating,2500081,,508-790-6432,508-790-6485,http://www.barnstable.k12.ma.us,508-790-6485,165 Bearses Way,"165 Bearses WayHyannis, MA, 02601",,Barnstable Community Horace Mann Charter Public (District),"K,01,02,03",508-790-6432,bchmcps@gmail.com,Marilee Cantelmo,$ Not Defined,Yes,,,,,,,
36,00210000,Barre,6/15,Superintendent,Public School District,Local School,Non-Title I District,01005,,,MA,Non Operating,2500005,9/1,978-355-6756,978-355-4668,,978-355-4668,872 South Street,"872 South StreetBarre, MA, 01005",,Barre (non-op),NA,978-355-6756,qrsd@quabbin.k12.ma.us,Maureen Marshall,,No,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
37,35020000,Springfield,,Charter School Leader,Charter District,Independent Public including Charters,Non-Title I District,01104,,$ Not Defined,MA,Operating,,,413-366-5101,413-366-5103,http://www.bacps.net,413-366-5103,334 Franklin Street,"334 Franklin StreetSpringfield, MA, 01104",,Baystate Academy Charter Public School,"06,07",413-366-5101,tsneed@bacps.net,Timothy Sneed,$ Not Defined,$ Not Defined,,,,,,,
38,00220000,Dalton,6/15,Superintendent,Public School District,Local School,Non-Title I District,01227,,,MA,Non Operating,2502370,9/1,413-684-1520,413-684-0320,,413-684-0320,PO Box 299,"PO Box 299Dalton, MA, 01227 0299",,Becket (non-op),NA,413-684-1520,wcameron@cbrsd.org,William Cameron,,No,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
39,00230000,Bedford,06/21,Superintendent,Public School District,Local School,Title I District,01730,,$ Not Defined,MA,Operating,2502400,9/1,781-275-0885,781-275-7588,http://www.bedford.k12.ma.us,781-275-7588,97 McMahon Road,"97 McMahon RoadBedford, MA, 01730 2166",,Bedford,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",781-275-0885,Jon_Sills@bedford.k12.ma.us,Jonathan Sills,$ Not Defined,Yes,Does Not Offer Choice,Accepts METCO Students,,,,,
40,00240000,Belchertown,06/24,Superintendent,Public School District,Local School,Title I District,01007,Belchertown Public Schools,$ Not Defined,MA,Operating,2502430,9/1,413-323-0448,413-323-0456,http://www.belchertownps.org,413-323-0456,PO Box 841,"PO Box 841Belchertown, MA, 01007",,Belchertown,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",413-323-0448,jhoule@belchertown.org,Judith Houle,$ Not Defined,Yes,Offers Choice,Does Not Accept METCO Students,,,,,
41,00250000,Bellingham,06/21,Superintendent,Public School District,Local School,Title I District,02019,,$ Not Defined,MA,Operating,2502460,9/1,508-883-0180,508-883-1706,http://www.bellinghamk12.org,508-883-1706,60 Harpin Street,"60 Harpin StreetBellingham, MA, 02019",,Bellingham,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",508-883-0180,efleury@bellinghamk12.org,Edward Fleury,$ Not Defined,Yes,Offers Choice,Does Not Accept METCO Students,,,,,
42,00260000,Belmont,06/21,Superintendent,Public School District,Local School,Title I District,02478,,$ Not Defined,MA,Operating,2502490,9/1,617-993-5409,617-993-5401,http://www.belmont.k12.ma.us,617-993-5401,644 Pleasant Street,"644 Pleasant StreetBelmont, MA, 02478 2589",,Belmont,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",617-993-5409,tkingston@belmont.k12.ma.us,Thomas Kingston,$ Not Defined,Yes,Does Not Offer Choice,Accepts METCO Students,,,,,
43,04200000,Cambridge,06/26,Charter School Leader,Charter District,Independent Public including Charters,Title I District,02140,"MISSION
The Benjamin Banneker Charter Public School is an urban K-six Science and Technology school, committed to excellence in education.  We believe all students can excel as learners and citizens when provided a rich, supportive, and stimulating educational 
environment.",$ Not Defined,MA,Operating,2500022,9/1,617-497-4223,617-497-7771,http://www.banneker.org,617-497-7771,21 Notre Dame Avenue,"21 Notre Dame AvenueCambridge, MA, 02140",,Benjamin Banneker Charter Public (District),"K,01,02,03,04,05,06",617-497-4223,sbretous@banneker.org,Sherley Bretous-Carre,$ Not Defined,Yes,,,,,,,
44,04470000,Franklin,06/24,Charter School Leader,Charter District,Independent Public including Charters,Non-Title I District,02038,"The mission of the Benjamin Franklin Classical Charter Public School is to assist parents in their role as primary educators of their children by providing the children with a classical academic education coupled with sound character development and community service.

(continued in School description):",$ Not Defined,MA,Operating,2500030,9/1,508-541-5396,508-541-3434,http://www.bfccps.org,508-541-3434,201 Main Street,"201 Main StreetFranklin, MA, 02038",,Benjamin Franklin Classical Charter Public (District),"K,01,02,03,04,05,06,07,08",508-541-5396,hzolnowski@bfccps.org,Heather Zolnowski,$ Not Defined,No,,,,,,,
45,00270000,Berkley,06/25,Superintendent,Public School District,Local School,Title I District,02779,,$ Not Defined,MA,Operating,2502520,9/1,508-823-1772,508-822-5220,http://www.BerkleyPublicSchools.org,508-822-5220,21 North Main Street,"21 North Main StreetBerkley, MA, 02779",,Berkley,"PK,K,01,02,03,04,05,06,07,08",508-823-1772,tlynch@berkley.k12.ma.us,Thomas Lynch,$ Not Defined,Yes,Offers Choice,Does Not Accept METCO Students,,,,,
46,04140000,Adams,06/24,Charter School Leader,Charter District,Independent Public including Charters,Title I District,01220,BART Charter Public School prepares students for college by promoting mastery of academic skills and content with a strong foundation in arts and technology.,$ Not Defined,MA,Operating,2500079,9/1,413-743-7327,413-743-7311,http://www.bartcharter.org,413-743-7311,1 Commercial Pl,"1 Commercial PlPO Box 267Adams, MA, 01220",PO Box 267,Berkshire Arts and Technology Charter Public (District),"06,07,08,09,10,11,12",413-743-7327,info@bartcharter.org,Julia Bowen,Yes,Yes,,,,,,,
47,06180000,Stockbridge,06/19,Superintendent,Public School District,Regional Academic,Title I District,01262,,$ Not Defined,MA,Operating,2502530,9/1,413-298-4017,413-298-4017,http://www.bhrsd.org,413-298-4017,50 Main Street,"50 Main StreetPO Box 617Stockbridge, MA, 01262",PO Box 617,Berkshire Hills,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",413-298-4017,peter.dillon@bhrsd.org,Peter Dillon,$ Not Defined,Yes,Offers Choice,Does Not Accept METCO Students,Automotive Technology (470604)Horticulture (010601),,,,
48,00280000,Boylston,06/24,Superintendent,Public School District,Local School,Title I District,01505,,$ Not Defined,MA,Operating,2502550,9/1,508-869-0023,508-869-2837,http://www.bbrsd.org,508-869-2837,215 Main Street,"215 Main StreetBoylston, MA, 01505 1099",,Berlin,"PK,K,01,02,03,04,05",508-869-0023,nekstrom@bbrsd.org,Nadine Ekstrom,$ Not Defined,No,Offers Choice,Does Not Accept METCO Students,,,,,
49,06200000,Boylston,06/25,Superintendent,Public School District,Regional Academic,Title I District,01505,,$ Not Defined,MA,Operating,2502580,9/1,508-869-0023,508-869-2837,http://www.bbrsd.org,508-869-2837,215 Main Street,"215 Main StreetBoylston, MA, 01505 2023",,Berlin-Boylston,"06,07,08,09,10,11,12",508-869-0023,nekstrom@bbrsd.org,Nadine Ekstrom,$ Not Defined,No,Offers Choice,Does Not Accept METCO Students,,,,,
50,00290000,Northfield,6/15,Superintendent,Public School District,Local School,Non-Title I District,01360,,,MA,Non Operating,2500015,9/1,413-498-0045,413-498-2911,http://www.pioneervalley.k12.ma.us,413-498-2911,97 F Sumner Turner Rd,"97 F Sumner Turner RdNorthfield, MA, 01360",,Bernardston (non-op),NA,413-498-0045,CourtneyK@pioneervalley.k12.ma.us,Dayle Doiron,,No,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
51,00300000,Beverly,06/24,Superintendent,Public School District,Local School,Title I District,01915,,$ Not Defined,MA,Operating,2502640,9/1,978-922-6597,978-921-6100,http://www.beverlyschools.org,978-921-6100,502 Cabot St,"502 Cabot StBeverly, MA, 01915",,Beverly,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",978-922-6597,aargenziano@beverlyschools.org,Albert Argenziano,$ Not Defined,Yes,Offers Choice,Does Not Accept METCO Students,,,,,
52,00310000,Billerica,06/26,Superintendent,Public School District,Local School,Title I District,01821,,$ Not Defined,MA,Operating,2502670,9/1,978-436-9595,978-528-7900,http://www.billerica.k12.ma.us,978-528-7900,365 Boston Rd,"365 Boston RdBillerica, MA, 01821",,Billerica,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",978-436-9595,tpiwowar@billerica.k12.ma.us,Timothy Piwowar,$ Not Defined,Yes,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
53,00320000,Blackstone,6/15,Superintendent,Public School District,Local School,Non-Title I District,01504,,,MA,Non Operating,2502700,9/1,508-883-9892,508-883-4400,,508-883-4400,175 Lincoln Street,"175 Lincoln StreetBlackstone, MA, 01504",,Blackstone (non-op),NA,508-883-9892,ecampbell@bmrsd.net,Perry Davis,,No,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
54,08050000,Upton,06/26,Superintendent,Public School District,Regional Vocational Tech,Title I District,01568,,$ Not Defined,MA,Operating,2502710,9/1,508-529-3079,508-529-7758,http://www.valleytech.k12.ma.us,508-529-7758,65 Pleasant Street,"65 Pleasant StreetUpton, MA, 01568 1499",,Blackstone Valley Regional Vocational Technical,"09,10,11,12",508-529-3079,mfitzpat@valleytech.k12.ma.us,Michael Fitzpatrick,$ Not Defined,Yes,Does Not Offer Choice,Does Not Accept METCO Students,Automotive Collision Repair & Refinishing (470603)Automotive Technology (470604)Business Technology (520407)Carpentry (460201)Cosmetology (120401)Culinary Arts (120500)Dental Assisting (510601)Design & Visual Communications (500401)Drafting (151301)Electricity (460302)Electronics (150303)Exploratory (990100)Graphic Communications (100301)Health Assisting (510000)Heating - Ventilation  - Air Conditioning -  Refrigeration (470201)Information Support Services & Networking (110401)Machine Tool Technology (480501)Painting & Design Technologies (460408)Plumbing (460503),,,,
